# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2023-05-09 18:33:15 -04:00	(nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 12358500 M F Flathead River near West Glacier MT
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 12358500
#    TS_ID       Parameter Description
#    82906       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
#     P  Provisional data subject to revision.
#     Ice  Value is affected by ice at the measurement site.
#
agency_cd	site_no	datetime	tz_cd	82906_00060	82906_00060_cd
USGS	12358500	2021-01-04 00:00	MST	875	A
USGS	12358500	2021-01-04 00:15	MST	875	A
USGS	12358500	2021-01-04 00:30	MST	875	A
USGS	12358500	2021-01-04 00:45	MST	875	A
USGS	12358500	2021-01-04 01:00	MST	875	A
USGS	12358500	2021-01-04 01:15	MST	875	A
USGS	12358500	2021-01-04 01:30	MST	875	A
USGS	12358500	2021-01-04 01:45	MST	864	A
USGS	12358500	2021-01-04 02:00	MST	864	A
USGS	12358500	2021-01-04 02:15	MST	864	A
USGS	12358500	2021-01-04 02:30	MST	864	A
USGS	12358500	2021-01-04 02:45	MST	864	A
USGS	12358500	2021-01-04 03:00	MST	864	A
USGS	12358500	2021-01-04 03:15	MST	864	A
USGS	12358500	2021-01-04 03:30	MST	864	A
USGS	12358500	2021-01-04 03:45	MST	864	A
USGS	12358500	2021-01-04 04:00	MST	864	A
USGS	12358500	2021-01-04 04:15	MST	864	A
USGS	12358500	2021-01-04 04:30	MST	864	A
USGS	12358500	2021-01-04 04:45	MST	864	A
USGS	12358500	2021-01-04 05:00	MST	864	A
USGS	12358500	2021-01-04 05:15	MST	864	A
USGS	12358500	2021-01-04 05:30	MST	853	A
USGS	12358500	2021-01-04 05:45	MST	853	A
USGS	12358500	2021-01-04 06:00	MST	853	A
USGS	12358500	2021-01-04 06:15	MST	853	A
USGS	12358500	2021-01-04 06:30	MST	853	A
USGS	12358500	2021-01-04 06:45	MST	853	A
USGS	12358500	2021-01-04 07:00	MST	853	A
USGS	12358500	2021-01-04 07:15	MST	853	A
USGS	12358500	2021-01-04 07:30	MST	853	A
USGS	12358500	2021-01-04 07:45	MST	853	A
USGS	12358500	2021-01-04 08:00	MST	853	A
USGS	12358500	2021-01-04 08:15	MST	843	A
USGS	12358500	2021-01-04 08:30	MST	843	A
USGS	12358500	2021-01-04 08:45	MST	843	A
USGS	12358500	2021-01-04 09:00	MST	843	A
USGS	12358500	2021-01-04 09:15	MST	843	A
USGS	12358500	2021-01-04 09:30	MST	843	A
USGS	12358500	2021-01-04 09:45	MST	843	A
USGS	12358500	2021-01-04 10:00	MST	843	A
USGS	12358500	2021-01-04 10:15	MST	843	A
USGS	12358500	2021-01-04 10:30	MST	843	A
USGS	12358500	2021-01-04 10:45	MST	843	A
USGS	12358500	2021-01-04 11:00	MST	843	A
USGS	12358500	2021-01-04 11:15	MST	843	A
USGS	12358500	2021-01-04 11:30	MST	843	A
USGS	12358500	2021-01-04 11:45	MST	843	A
USGS	12358500	2021-01-04 12:00	MST	843	A
USGS	12358500	2021-01-04 12:15	MST	843	A
USGS	12358500	2021-01-04 12:30	MST	843	A
USGS	12358500	2021-01-04 12:45	MST	843	A
USGS	12358500	2021-01-04 13:00	MST	843	A
USGS	12358500	2021-01-04 13:15	MST	832	A
USGS	12358500	2021-01-04 13:30	MST	832	A
USGS	12358500	2021-01-04 13:45	MST	832	A
USGS	12358500	2021-01-04 14:00	MST	832	A
USGS	12358500	2021-01-04 14:15	MST	832	A
USGS	12358500	2021-01-04 14:30	MST	832	A
USGS	12358500	2021-01-04 14:45	MST	832	A
USGS	12358500	2021-01-04 15:00	MST	832	A
USGS	12358500	2021-01-04 15:15	MST	832	A
USGS	12358500	2021-01-04 15:30	MST	832	A
USGS	12358500	2021-01-04 15:45	MST	832	A
USGS	12358500	2021-01-04 16:00	MST	832	A
USGS	12358500	2021-01-04 16:15	MST	832	A
USGS	12358500	2021-01-04 16:30	MST	832	A
USGS	12358500	2021-01-04 16:45	MST	832	A
USGS	12358500	2021-01-04 17:00	MST	832	A
USGS	12358500	2021-01-04 17:15	MST	832	A
USGS	12358500	2021-01-04 17:30	MST	832	A
USGS	12358500	2021-01-04 17:45	MST	832	A
USGS	12358500	2021-01-04 18:00	MST	832	A
USGS	12358500	2021-01-04 18:15	MST	832	A
USGS	12358500	2021-01-04 18:30	MST	832	A
USGS	12358500	2021-01-04 18:45	MST	832	A
USGS	12358500	2021-01-04 19:00	MST	832	A
USGS	12358500	2021-01-04 19:15	MST	832	A
USGS	12358500	2021-01-04 19:30	MST	832	A
USGS	12358500	2021-01-04 19:45	MST	832	A
USGS	12358500	2021-01-04 20:00	MST	832	A
USGS	12358500	2021-01-04 20:15	MST	832	A
USGS	12358500	2021-01-04 20:30	MST	832	A
USGS	12358500	2021-01-04 20:45	MST	832	A
USGS	12358500	2021-01-04 21:00	MST	832	A
USGS	12358500	2021-01-04 21:15	MST	832	A
USGS	12358500	2021-01-04 21:30	MST	832	A
USGS	12358500	2021-01-04 21:45	MST	832	A
USGS	12358500	2021-01-04 22:00	MST	843	A
USGS	12358500	2021-01-04 22:15	MST	843	A
USGS	12358500	2021-01-04 22:30	MST	843	A
USGS	12358500	2021-01-04 22:45	MST	832	A
USGS	12358500	2021-01-04 23:00	MST	832	A
USGS	12358500	2021-01-04 23:15	MST	832	A
USGS	12358500	2021-01-04 23:30	MST	832	A
USGS	12358500	2021-01-04 23:45	MST	832	A
USGS	12358500	2021-01-05 00:00	MST	843	A
USGS	12358500	2021-01-05 00:15	MST	832	A
USGS	12358500	2021-01-05 00:30	MST	843	A
USGS	12358500	2021-01-05 00:45	MST	843	A
USGS	12358500	2021-01-05 01:00	MST	843	A
USGS	12358500	2021-01-05 01:15	MST	832	A
USGS	12358500	2021-01-05 01:30	MST	843	A
USGS	12358500	2021-01-05 01:45	MST	843	A
USGS	12358500	2021-01-05 02:00	MST	843	A
USGS	12358500	2021-01-05 02:15	MST	843	A
USGS	12358500	2021-01-05 02:30	MST	843	A
USGS	12358500	2021-01-05 02:45	MST	843	A
USGS	12358500	2021-01-05 03:00	MST	832	A
USGS	12358500	2021-01-05 03:15	MST	832	A
USGS	12358500	2021-01-05 03:30	MST	832	A
USGS	12358500	2021-01-05 03:45	MST	832	A
USGS	12358500	2021-01-05 04:00	MST	832	A
USGS	12358500	2021-01-05 04:15	MST	832	A
USGS	12358500	2021-01-05 04:30	MST	832	A
USGS	12358500	2021-01-05 04:45	MST	832	A
USGS	12358500	2021-01-05 05:00	MST	832	A
USGS	12358500	2021-01-05 05:15	MST	832	A
USGS	12358500	2021-01-05 05:30	MST	832	A
USGS	12358500	2021-01-05 05:45	MST	832	A
USGS	12358500	2021-01-05 06:00	MST	832	A
USGS	12358500	2021-01-05 06:15	MST	832	A
USGS	12358500	2021-01-05 06:30	MST	832	A
USGS	12358500	2021-01-05 06:45	MST	832	A
USGS	12358500	2021-01-05 07:00	MST	832	A
USGS	12358500	2021-01-05 07:15	MST	832	A
USGS	12358500	2021-01-05 07:30	MST	832	A
USGS	12358500	2021-01-05 07:45	MST	832	A
USGS	12358500	2021-01-05 08:00	MST	832	A
USGS	12358500	2021-01-05 08:15	MST	832	A
USGS	12358500	2021-01-05 08:30	MST	832	A
USGS	12358500	2021-01-05 08:45	MST	832	A
USGS	12358500	2021-01-05 09:00	MST	821	A
USGS	12358500	2021-01-05 09:15	MST	821	A
USGS	12358500	2021-01-05 09:30	MST	821	A
USGS	12358500	2021-01-05 09:45	MST	821	A
USGS	12358500	2021-01-05 10:00	MST	821	A
USGS	12358500	2021-01-05 10:15	MST	821	A
USGS	12358500	2021-01-05 10:30	MST	821	A
USGS	12358500	2021-01-05 10:45	MST	821	A
USGS	12358500	2021-01-05 11:00	MST	821	A
USGS	12358500	2021-01-05 11:15	MST	821	A
USGS	12358500	2021-01-05 11:30	MST	821	A
USGS	12358500	2021-01-05 11:45	MST	821	A
USGS	12358500	2021-01-05 12:00	MST	821	A
USGS	12358500	2021-01-05 12:15	MST	821	A
USGS	12358500	2021-01-05 12:30	MST	821	A
USGS	12358500	2021-01-05 12:45	MST	821	A
USGS	12358500	2021-01-05 13:00	MST	821	A
USGS	12358500	2021-01-05 13:15	MST	821	A
USGS	12358500	2021-01-05 13:30	MST	821	A
USGS	12358500	2021-01-05 13:45	MST	821	A
USGS	12358500	2021-01-05 14:00	MST	821	A
USGS	12358500	2021-01-05 14:15	MST	821	A
USGS	12358500	2021-01-05 14:30	MST	821	A
USGS	12358500	2021-01-05 14:45	MST	821	A
USGS	12358500	2021-01-05 15:00	MST	821	A
USGS	12358500	2021-01-05 15:15	MST	821	A
USGS	12358500	2021-01-05 15:30	MST	821	A
USGS	12358500	2021-01-05 15:45	MST	821	A
USGS	12358500	2021-01-05 16:00	MST	821	A
USGS	12358500	2021-01-05 16:15	MST	821	A
USGS	12358500	2021-01-05 16:30	MST	821	A
USGS	12358500	2021-01-05 16:45	MST	821	A
USGS	12358500	2021-01-05 17:00	MST	821	A
USGS	12358500	2021-01-05 17:15	MST	821	A
USGS	12358500	2021-01-05 17:30	MST	821	A
USGS	12358500	2021-01-05 17:45	MST	821	A
USGS	12358500	2021-01-05 18:00	MST	821	A
USGS	12358500	2021-01-05 18:15	MST	821	A
USGS	12358500	2021-01-05 18:30	MST	821	A
USGS	12358500	2021-01-05 18:45	MST	821	A
USGS	12358500	2021-01-05 19:00	MST	821	A
USGS	12358500	2021-01-05 19:15	MST	821	A
USGS	12358500	2021-01-05 19:30	MST	821	A
USGS	12358500	2021-01-05 19:45	MST	821	A
USGS	12358500	2021-01-05 20:00	MST	821	A
USGS	12358500	2021-01-05 20:15	MST	821	A
USGS	12358500	2021-01-05 20:30	MST	821	A
USGS	12358500	2021-01-05 20:45	MST	821	A
USGS	12358500	2021-01-05 21:00	MST	821	A
USGS	12358500	2021-01-05 21:15	MST	821	A
USGS	12358500	2021-01-05 21:30	MST	811	A
USGS	12358500	2021-01-05 21:45	MST	811	A
USGS	12358500	2021-01-05 22:00	MST	811	A
USGS	12358500	2021-01-05 22:15	MST	811	A
USGS	12358500	2021-01-05 22:30	MST	811	A
USGS	12358500	2021-01-05 22:45	MST	811	A
USGS	12358500	2021-01-05 23:00	MST	811	A
USGS	12358500	2021-01-05 23:15	MST	811	A
USGS	12358500	2021-01-05 23:30	MST	811	A
USGS	12358500	2021-01-05 23:45	MST	811	A
USGS	12358500	2021-01-06 00:00	MST	811	A
USGS	12358500	2021-01-06 00:15	MST	811	A
USGS	12358500	2021-01-06 00:30	MST	811	A
USGS	12358500	2021-01-06 00:45	MST	811	A
USGS	12358500	2021-01-06 01:00	MST	811	A
USGS	12358500	2021-01-06 01:15	MST	811	A
USGS	12358500	2021-01-06 01:30	MST	811	A
USGS	12358500	2021-01-06 01:45	MST	811	A
USGS	12358500	2021-01-06 02:00	MST	811	A
USGS	12358500	2021-01-06 02:15	MST	811	A
USGS	12358500	2021-01-06 02:30	MST	811	A
USGS	12358500	2021-01-06 02:45	MST	811	A
USGS	12358500	2021-01-06 03:00	MST	811	A
USGS	12358500	2021-01-06 03:15	MST	811	A
USGS	12358500	2021-01-06 03:30	MST	811	A
USGS	12358500	2021-01-06 03:45	MST	811	A
USGS	12358500	2021-01-06 04:00	MST	811	A
USGS	12358500	2021-01-06 04:15	MST	811	A
